"address","lat","long","LRMq","FURq","KITq","BMNTq","BATHq","prop.typ","layout","garage","living.area.M2","frontage.M","depth.M","year.built","sell.price","org.price","comparables","UI.lat","UI.long","UI.year","UI.frontage","UI.size","UI.price"
"'157 Masson Street ,  Winnipeg R2H 0H3'",0.175002919643344,0.285433518104641,-0.186997942263079,-0.933548826027608,-2.03400896686859,0.534321578469429,-3.0852446443075," RD"," 1+1/2","0",-0.979104605402696,-0.969851057023668,-0.467436958004842,-2.21116361260108,-0.545606700918092,-0.470740186598567,8,49.89121,-97.123001,1890,3.19173620386861,75.07,219500
"'33 Avondale Road ,  Winnipeg R2M 0N8'",-0.437965785356363,0.558960519274331,0.52407837540397,-1.8978739869792,-0.661309930222132,-0.528742377565416,-2.44160280850522," RD"," BNG","1",-0.688876326580352,-0.132531659868525,-0.377857881129839,-0.401926541660715,-0.236816615281227,-0.197677578472206,5,49.859878,-97.103194,1953,11.4241899887719,88.91,261250
"'412 Rupertsland Avenue ,  Winnipeg R2V 0G8'",1.03216722890313,0.124167621489319,-0.186997942263079,0.512938915399785,-1.34765944854536,-1.23745168158865,0.132964534703892," RD"," BNG","1",-1.26744556160264,-0.233625340364946,-0.333068342692338,-0.574234834131227,-0.579629081611016,-0.584086929594414,6,49.9350241,-97.1346788,1947,10.6401467711621,61.32,214900
"'34 Lakeside Drive ,  Winnipeg R3T 4J1'",-1.44713780369893,-0.327216145140297,-2.32022689526423,-0.933548826027608,-2.03400896686859,0.534321578469429,0.132964534703892," RD"," BLEVL","1",-0.527195688594784,0.804782573429818,-0.0328307773420554,0.28730662822133,-0.0988780500805675,-0.101075240691653,3,49.808294,-97.167365,1977,14.5603628592113,96.62,279900
"'51 Highwater Path ,  Winnipeg R2R 2X1'",1.48387069924868,-0.725195377063802,0.52407837540397,0.995101495875582,0.711389106424326,-0.794508366574127,0.776606370506171," TH"," TWO","1",-0.055784438022076,0.134487517964415,0.162077543770587,1.37859248053457,-0.0981384331089822,-0.165476799212022,7,49.958113,-97.196184,2015,19.5259699040736,119.1,280000
"'143 Borebank Street ,  Winnipeg R3N 1E1'",-0.147621455249792,-0.665869280379598,0.52407837540397,0.416506399304625,0.0250395881010971,-0.883097029577031,-1.82370664613504," RD"," 1+1/2","1",0.388365485782637,0.436669715100457,0.16256973650067,-0.602952882876312,-0.0241767359504517,-0.0366736821712853,1,49.874719,-97.191888,1946,10.5094729015604,140.28,290000
"'16 Riverside Drive ,  Winnipeg R3T 0E8'",-0.573287645833957,-0.0362476029760252,-0.186997942263079,0.995101495875582,-1.34765944854536,0.534321578469429,0.776606370506171," RD"," BLEVL","0",-0.250598073156438,0.436669715100457,0.102522223430613,-0.258336297935289,0.212500694956846,0.124330214129635,5,49.852961,-97.146295,1958,12.0775593367801,109.81,322000
"'85 Cypress Ridge ,  Winnipeg R3Y 0G2'",-1.92897127221152,-0.553818081940029,0.52407837540397,0.995101495875582,0.711389106424326,-0.794508366574127,0.776606370506171," RD"," TWO","1",2.28218888610387,-0.0995663292718657,1.36204341971155,1.26372028555423,1.62147102582685,1.43876602353035,3,49.783665,-97.183774,2011,19.003274425667,230.59,512500
"'1131 Colby Avenue ,  Winnipeg R3T 2P9'",-1.64670673513322,-0.248763734697137,0.52407837540397,0.995101495875582,0.711389106424326,0.977264893483948,0.776606370506171," RD"," TWO","1",2.69698045800459,0.436669715100457,0.252148813375672,1.14884809057389,2.26863587596399,2.2173808660416,3,49.798093,-97.161684,2007,18.4805789472604,250.37,600000
"'224 Oustic Avenue ,  Winnipeg R2M 1M3'",-0.686424311894662,0.683288463512863,0.52407837540397,0.0307763349239871,0.711389106424326,-0.812226099174708,0.776606370506171," RD"," BNG","1",-0.675245663196355,-0.0666009986752064,-0.423139612297423,0.28730662822133,-0.061157584529717,-0.0617902899942289,5,49.847178,-97.094191,1977,14.5603628592113,89.56,285000
"'27 Tom Quinn Place ,  Winnipeg R2C 5M1'",0.34780875940014,2.50657164443042,0.52407837540397,0.995101495875582,0.711389106424326,0.977264893483948,0.776606370506171," RD"," TWO","1",0.42548283068983,-0.501743362551108,-0.377857881129839,1.17756613931897,0.412197277284878,0.349735668950924,2,49.900043,-96.962161,2008,18.6112528168621,142.05,349000
"'541 Polson Avenue ,  Winnipeg R2X 1E2'",0.999885227750335,-0.0430143132589016,-4.45345584826538,-2.380036567455,-4.09305752183828,-1.68039499660316,-3.72888648010978," RD"," BNG","1",-1.25192757559624,-0.701733034837507,0.102522223430613,-2.05321434450312,-1.29631792707718,-1.19590173553791,8,49.933374,-97.146785,1895,3.91044248667763,62.06,118000
"'115 Horrox Bay ,  Winnipeg R2V 4V7'",1.60299384634255,0.760622295317305,0.52407837540397,0.995101495875582,0.711389106424326,0.977264893483948,0.776606370506171," RD"," BNG","1",-0.118066084561264,-0.367684351458027,-0.22823129118478,0.976539798103375,0.382612598421466,0.317534889690739,11,49.964202,-97.088591,2001,17.6965357296506,116.13,345000
"'496 Beverley Street ,  Winnipeg R3G 1V2'",0.235043802946101,-0.301737409483262,-4.45345584826538,-2.380036567455,-4.09305752183828,-2.12333831161768,-3.72888648010978," DP"," TWO","1",0.27156118570746,-1.23796907920983,-0.437905394199896,-1.72295678393464,-1.10475713143658,-0.938295501456439,12,49.894279,-97.16552,1907,5.41319198709649,134.71,143900
